rating,title,content
1,"Was NOT 12GB, was NOT unlocked. Buyers beware!","Tldr: went through Verizon, both IMEIs state locked and unable to be used, systems settings also state 8GB vs 12GB but everything shows it's a OnePlus 9 Pro. Won't ever go for an unlocked phone again."
1,Model Sent Not For US Networks,"When trying to connect to US celluar provider, was informed the IMEI was for foreign networks only. Started with ""8"" for the IMEI."
1,No sirve,"Este teléfono parece que no era el original, la batería se descargaba rápidamente, se le metió agua a la cámara, trate de actualizar software y se demoró una eternidad, calentaba y era súper lento."
1,The product does not match the purchase.,"The delivered product was a one plus 9 pro of 8GB RAM and 256GB storage, but the product I paid for was a one plus 9 pro of 12GB RAM and 256GB storage"
1,Doesn't work,Support wants my new phone for 7-10 days to find out why it doesn't work....<br>Don't buy OnePlus anymore - bad company to do business with.
1,NO TIENE DUAL CHIO ALGO ABSURDO,Es decepcionante que siendo un nivel superior al que tenía (One Plus 7) este venga sin doble chip
1,Phone was Great before they upgraded it to Android 12,After the Android 12 update this phone has so many issues that I'm trying to get rid of this phone.
1,bad,"This kind of mobile phone doesn't work well at all, and it can't be charged frequently."
1,Does not work with Android Auto,Does not connect with Android Auto without needing to perform a raindance of work arounds every time you need to connect.  Unacceptable for a $1k phone.
5,Best phone that I have owned,"The OnePlus 9 Pro is a superb cell phone with everything that one could want. First, it is an excellent phone. Voices of callers are clear and the fidelity os excellent whether listing through the handset, using it as a speakerphone or connecting it to a Bluetooth device. Callers report that hearing me is easy, also with good fidelity. The phone uses three microphones, one on the top, one on the bottom, and one on the back of the phone. In addition to picking up my voice when I am talking, the microphone inputs are collected, and a noise-reduction algorithm is applied. Unlike many carriers, T-Mobile uses its 5G  band for telephony as well as data.<br>The camera and related supporting software is excellent. The phone has four lenses on the back plus a front-facing camera that can be used for selfies. The flexibility of the cameras, the zooming, using of infrared for focusing as well as for shooting in low-light situals.<br>The audio processing is excellent. In addition to the usual file formats for recording and capture, the phone's Bluetooth formats include LDAC.<br>I kept this phone when it was time for an ""upgrade"" because noving to the OnePlus 10 Pro, any of the Samsug phones, or the Apple 14 series would result in the loss of functions and flexibility.<br>zIf the OnePlus 11 Pro is as flexible as the OnePlus 9 Pro and is able to provide the same camera, mujsic processing, Bluetooth formats, and memory, I will switch. If not, I won't."
1,didnt meet the expectations,"Apps keep freezing, battery backup is also a concerning issue"
1,"Son unos ladrones, ofrecen 12 gb de ram y te lo envían de 8 gb","Apps keep freezing, battery backup is also a concerning issue"
1,The worst cellphone I've ever used,the system is not smooth at all.<br>and the screen was broken after 2-day's use.
1,Phone was advertised as used like new. Definitely not the case...,the system is not smooth at all.<br>and the screen was broken after 2-day's use.
1,Worst phone I ever bought.,Magnificent fingerprint reader.
5,As described. Brand New. 12GB RAM / 256GB STORAGE,"Item arrived in brand new condition as described. Working awesome with Android 13 / OxygenOS 13. Just noticed my phone came without case, anyways i use Spigen cases."
3,"From ""Never Settle"" to ""meh""","Been using OP phones since the start. Owned a 1, 2, 5T and now this 9 Pro. GF had the 6 and now the regular 9, a buddy the 7T McLaren. So I've had a fair amount of experience with their product line.<br>It really seems like with each successive release in the last few years every time they are following the market leaders rather than delivering a consistent product. My 5T, minus it's less than stellar camera, was an absolutely amazing device. Still after several years, great battery life, and it has a headphone jack! I know, I know... Yet somehow this 9 Pro is larger than my 5T, doesn't have true stereo speakers, doesn't have crazy internals like a periscope camera... And yet here we are, no headphone jack. Which would be alright, if they included an adapter, which they don't, and they are consistently out of stock on their website.<br>This 9 ""Pro"" has been an exercise in compromises. Coming from the 5t, it's honestly a step back in many ways, with the one notable exception being the amazing camera... Yes OnePlus finally got it right with the camera. Shame that it came at the cost of everything else. Fingerprint reader? Forget it. It's junk. My 5t fingerprint reader was amazing. It was rare that it didn't recognize me. Usually because I had something on my fingers. 9 Pro? Fails more often than it works. Usually have to put my finger on the glass 3-4 times before it will recognize it.<br>It's constantly going into pocket mode. When it's on the table. When it's on the charger. When it's on the car seat. When you haven't touched it in a while. Best part is you usually have to hit the power button 2-3 times before it figures out what's going on. It doesn't stop it from turning on the flashlight though if you barely touch the screen when picking ng it up)<br>Wireless charging is amazingly fast. Like, this is some magic voodoo stuff. Too bad when you put it on the nice wireless charger it often puts itself into ""bedtime mode"" and... stops charging itself for some reason. (A side note, the wireless charger doesn't come with it's own PSU, it's sold separately of course, and is required to make it work at high speed, which would be tolerable except OnePlus NEVER has them available separately, always out of stock.. sensing a pattern here?)<br>Today the phone's microphone wouldn't work. No idea why. Nobody could hear me on calls till I rebooted. Pretty basic stuff eh?<br>Sometimes the phone makes phantom notification sounds. You hear it beep about something but when you pick it up, there's nothing there.<br>I guess the display is nice. I don't game nor do I need to watch 4k 120hz content on a phone so none of the display tech matters to me at all. Honestly my old 5T is easier to see in sunlight. It would be nice if they'd found some way to keep a notification LED on the screen as the customization you could get with that was very useful for app-customized notification lights. Now you only get always-on display. Don't care. Colored notifications lights could let me see from a distance what my phone received. Now I have to pick it up and look at it to tell. A step backwards in usability. Third party apps exist but they kill the battery if you set them up to behave exactly like how the old devices worked.<br>When I first got the device, it had a software bug that Gmail push wouldn't work. So I wasn't getting any email notifications until I opened up the app. They fixed that at least.<br><br>The camera is up to par with what you would expect for a $1000 phone. Everything else about this phone is decidedly midrange. Fingerprint reader is meh at best. Software is inconsistent and more limited than previous OP offerings in customization. Definitely will not be looking to OP next time I am buying myself a premium handset."
